key_words,key_values
repeat customer,0.07
opt sweetness,0.07
sylvain chaillout,0.07
sylvain looked,0.07
sylvain very,0.07
operation been,0.07
open eye,0.07
onetotal starsplaisirs,0.07
fecal matter,0.07
tale started,0.07
tapioca starch,0.07
fifthgeneration baker,0.07
tastebud like,0.07
offered place,0.07
financier financier,0.07
financier sound,0.07
tasty mechant,0.07
tea decent,0.07
tea said,0.07
tea waaaay,0.07
tea when,0.07
bouncy thinkingwhy,0.07
bouncy place,0.07
bouncy crunchy,0.07
buttery flavorsambiance,0.07
buttery lot,0.07
eye soma,0.07
sweetness tastebud,0.07
owned fifthgeneration,0.07
caron uttering,0.07
ordered two,0.07
ordered tried,0.07
ordered oranais,0.07
evident moment,0.07
order white,0.07
order told,0.07
cannot imagine,0.07
order not,0.07
sweet agreed,0.07
tea white,0.07
order milk,0.07
order gave,0.07
sweet smooth,0.07
sweet stop,0.07
exploring part,0.07
oranais elaborate,0.07
eye past,0.07
sweet told,0.07
sweetness not,0.07
sweetness reassurancefor,0.07
eye pretend,0.07
cake cooky,0.07
sweet despite,0.07
street pyramid,0.07
tend prefer,0.07
texture hard,0.07
french bakery,0.07
french two,0.07
necessary know,0.07
gallic joy,0.07
most recent,0.07
told guy,0.07
told not,0.07
been owned,0.07
gave complimentary,0.07
tone down,0.07
gene kelly,0.07
generous bitefuls,0.07
generous though,0.07
mood virginal,0.07
montmartre watching,0.07
tooo sweet,0.07
month later,0.07
topping asked,0.07
topping crunchy,0.07
moment start,0.07
modest order,0.07
get five,0.07
get helpful,0.07
best since,0.07
french almond,0.07
franaisrelated exploring,0.07
found dozen,0.07
nothing write,0.07
bonpastries starsthe,0.07
boba topping,0.07
boba since,0.07
boba said,0.07
boba not,0.07
boba like,0.07
boba aka,0.07
five financier,0.07
flaky messy,0.07
bitlywjtudi flaky,0.07
find part,0.07
bitlyicemo sylvain,0.07
not uncooked,0.07
bitch slap,0.07
thinkingwhy want,0.07
though felt,0.07
flavorsambiance starsprime,0.07
thought chouquette,0.07
three checkins,0.07
not mood,0.07
not good,0.07
not define,0.07
not alarmed,0.07
bitefuls gallic,0.07
stop way,0.07
cautionary tale,0.07
especially know,0.07
reassurancefor topping,0.07
reassurance taste,0.07
cooky imagine,0.07
describe say,0.07
describingafter ordered,0.07
cooked uncooked,0.07
despite reassurance,0.07
confirm actually,0.07
confection somewhere,0.07
difference cooked,0.07
complimentary one,0.07
quite evident,0.07
dinner ordered,0.07
pyramid scamthey,0.07
puffy like,0.07
puff pate,0.07
display window,0.07
public decency,0.07
since basically,0.07
pringles potato,0.07
since le,0.07
come maybe,0.07
come hope,0.07
corner soma,0.07
recent visit,0.07
regular milk,0.07
imagine joie,0.07
said drink,0.07
said difference,0.07
cute puffy,0.07
said best,0.07
dance leslie,0.07
saw get,0.07
dangerous place,0.07
say not,0.07
scamthey actually,0.07
crunchy texture,0.07
reviewed bitlyhvgtv,0.07
down sweetness,0.07
dcadents franaisrelated,0.07
croissantlike treat,0.07
decency law,0.07
review dangerous,0.07
decent nothing,0.07
decide come,0.07
second visit,0.07
deen bitch,0.07
define boba,0.07
craftsmanship up,0.07
craftsmanship quite,0.07
see onetotal,0.07
decadently buttery,0.07
down tone,0.07
pretend back,0.07
dozen bag,0.07
photo bitlyicemo,0.07
perusing pastry,0.07
eat uncooked,0.07
eating like,0.07
chip buttery,0.07
person taking,0.07
starch ball,0.07
starsplaisirs dcadents,0.07
starsprime corner,0.07
starssylvain know,0.07
starsthe craftsmanship,0.07
photo bitlywjtudi,0.07
checkins least,0.07
started eating,0.07
elaborate vanilla,0.07
elephant eye,0.07
paula deen,0.07
pate chou,0.07
chaillout parentstheir,0.07
pastry display,0.07
past couple,0.07
part soma,0.07
part close,0.07
parentstheir craftsmanship,0.07
start perusing,0.07
basically water,0.07
photo hard,0.07
pile high,0.07
slap most,0.07
prefer actual,0.07
collection place,0.07
small french,0.07
potato chip,0.07
drink confirm,0.07
smooth bouncy,0.07
sneeze guard,0.07
soma here,0.07
place visited,0.07
soma location,0.07
photobitlywqpnpi sylvain,0.07
soma where,0.07
place tend,0.07
close eye,0.07
somewhere cake,0.07
clear agar,0.07
drink sweet,0.07
place like,0.07
drink wanted,0.07
sound like,0.07
place good,0.07
chouquette looked,0.07
chou photobitlywqpnpi,0.07
drink regular,0.07
treat apricot,0.07
boba ball,0.07
customer when,0.07
know meanservice,0.07
gourd lover,0.07
home found,0.07
almond confection,0.07
whole hog,0.07
white boba,0.07
home come,0.07
virginal visit,0.07
know not,0.07
where fecal,0.07
know repeat,0.07
already cannot,0.07
visit month,0.07
lot like,0.07
hog ordered,0.07
visit thought,0.07
looked modest,0.07
alley montmartre,0.07
already hesitated,0.07
good way,0.07
very generous,0.07
kelly dance,0.07
mechant bonpastries,0.07
back alley,0.07
measure generous,0.07
meanservice starssylvain,0.07
maybe opt,0.07
window photo,0.07
matter pile,0.07
good measure,0.07
knock public,0.07
agreed sweetness,0.07
uttering french,0.07
aka tapioca,0.07
vanilla croissantlike,0.07
ala open,0.07
madeleines paula,0.07
lover knowww,0.07
asked white,0.07
visit yesterday,0.07
knowww drink,0.07
when see,0.07
guy taking,0.07
like minicream,0.07
wanted sweetness,0.07
like madeleines,0.07
like decide,0.07
went order,0.07
watching gene,0.07
law around,0.07
water down,0.07
le sweet,0.07
like cautionary,0.07
hard ignore,0.07
like agar,0.07
way dinner,0.07
hard describe,0.07
way true,0.07
leslie caron,0.07
went whole,0.07
later saw,0.07
like order,0.07
helpful person,0.07
visited reviewed,0.07
vivre when,0.07
location high,0.07
waaaay tooo,0.07
around ala,0.07
like wall,0.07
like type,0.07
like sweetness,0.07
up decadently,0.07
high sneeze,0.07
like pringles,0.07
hesitated said,0.07
when home,0.07
apricot photo,0.07
wall street,0.07
here collection,0.07
guard absolutely,0.07
want eat,0.07
high elephant,0.07
good describingafter,0.07
alarmed since,0.07
least writing,0.07
uncooked not,0.07
ball turn,0.07
ball offered,0.07
yikes three,0.07
actually small,0.07
minicream puff,0.07
tried drink,0.07
joie vivre,0.07
bag photo,0.07
write home,0.07
joy second,0.07
two drink,0.07
two knock,0.07
absolutely necessary,0.07
type crunchy,0.07
ignore especially,0.07
bakery find,0.07
true french,0.07
actual taste,0.07
actually clear,0.07
yesterday went,0.07
imagine actual,0.07
baker sylvain,0.07
writing review,0.07
hope get,0.07
actual boba,0.07
year operation,0.07
messy tasty,0.07
feel like,0.08
felt like,0.08499999999999999
one good,0.08499999999999999
took order,0.08499999999999999
not like,0.08666666666666667
first time,0.0875
rude giving,0.09
policy place,0.09
hippie european,0.09
plenty seating,0.09
day spot,0.09
please wait,0.09
rigid inhospitable,0.09
idea run,0.09
plate being,0.09
hereit first,0.09
room negotiation,0.09
date drinksbhakti,0.09
industry not,0.09
drink small,0.09
larger size,0.09
drink seated,0.09
large community,0.09
last few,0.09
place getting,0.09
last night,0.09
peoplewatchingthe bathroom,0.09
said not,0.09
least think,0.09
said irritating,0.09
person took,0.09
hard normal,0.09
dairy free,0.09
eat together,0.09
dairyfree milk,0.09
dairyfree offered,0.09
phone waited,0.09
run business,0.09
hard work,0.09
ruined experience,0.09
rule policy,0.09
photo talking,0.09
pick shop,0.09
picsmightttt come,0.09
health code,0.09
ducked into,0.09
duck work,0.09
health fixated,0.09
latte hot,0.09
duck into,0.09
place eat,0.09
drinksbhakti chai,0.09
heavily really,0.09
improved not,0.09
head upstairs,0.09
policy sign,0.09
despise marthas,0.09
inhospitable best,0.09
refill payingthe,0.09
people want,0.09
